Oracle,2018,2018-07,,690
The Linux Kernel Archives,2014,2014-12,,447
SUSE Linux,2021,2021-11,,509
Intel,2015,2015-08,,1674
Oracle,2017,2017-04,,430
SUSE Linux,2008,2008-06,,258
Broadcom,2006,2006-08,,6
Intel,2019,2019-09,,1033
Red Hat,2019,2019-07,,1089
Broadcom,2018,2018-04,,233
Texas Instruments,2020,2020-03,,536
Alibaba,2005,2005-10,,194
Red Hat,2021,2021-07,,675
Arnd Bergmann,2014,2014-03,,98
Broadcom,2016,2016-09,,51
Oracle,2015,2015-10,,422
The Linux Kernel Archives,2016,2016-02,,457
Broadcom,2011,2011-07,,527
Red Hat,2009,2009-09,,1559
Intel,2017,2017-09,,1469
Nick Piggin,2007,2007-06,,112
The Linux Kernel Archives,2021,2021-11,,1389
Arnd Bergmann,2020,2020-12,,73
Linaro,2020,2020-09,,427
Red Hat,2016,2016-07,,1415
Red Hat,2017,2017-07,,1739
Samsung Electronics,2013,2013-04,,575
The Linux Kernel Archives,2022,2022-01,,1205
Intel,2020,2020-11,,1881
Linaro,2017,2017-07,,473
Texas Instruments,2013,2013-11,,449
Texas Instruments,2013,2013-12,,502
amd.com,2019,2019-03,,826
Red Hat,2013,2013-03,,1716
Intel,2010,2010-02,,983
Intel,2007,2007-03,,510
Intel,2021,2021-08,,1598
The Linux Kernel Archives,2015,2015-06,,625
amd.com,2010,2010-07,,264
Red Hat,2017,2017-11,,1967
Texas Instruments,2013,2013-07,,810
Intel,2012,2012-10,,1468
Oracle,2008,2008-08,,307
Intel,2019,2019-11,,1784
Samsung Electronics,2007,2007-04,,32
Intel,2020,2020-01,,2186
Oracle,2019,2019-02,,475
Samsung Electronics,2015,2015-04,,413
Huawei Technologies,2008,2008-01,,268
Broadcom,2017,2017-10,,274
Red Hat,2020,2020-08,,1145
David M. Loft,2008,2008-01,,108
SUSE Linux,2012,2012-11,,240
Mellanox Technologies,2019,2019-06,,744
Broadcom,2011,2011-05,,763
Texas Instruments,2017,2017-10,,110
Intel,2012,2012-04,,1222
Sony,2013,2013-03,,9
Intel,2021,2021-01,,1649
Red Hat,2019,2019-10,,808
Texas Instruments,2011,2011-05,,524
Red Hat,2017,2017-01,,1037
Red Hat,2008,2008-08,,1557
The Linux Kernel Archives,2016,2016-09,,654
Texas Instruments,2016,2016-02,,345
Samsung Electronics,2015,2015-01,,507
Intel,2011,2011-03,,1699
Samsung Electronics,2016,2016-09,,705
Samsung Electronics,2016,2016-10,,764
Red Hat,2012,2012-03,,3289
amd.com,2008,2008-11,,80
amd.com,2021,2021-04,,788
Intel,2007,2007-10,,1712
Intel,2017,2017-01,,1809
Intel,2015,2015-09,,2047
Linaro,2017,2017-06,,782
Red Hat,2016,2016-09,,1685
Linaro,2015,2015-06,,568
amd.com,2007,2007-06,,37
amd.com,2020,2020-10,,827
SUSE Linux,2006,2006-08,,644
Samsung Electronics,2016,2016-11,,437
amd.com,2021,2021-06,,697
Mellanox Technologies,2021,2021-09,,339
Linaro,2020,2020-03,,717
SUSE Linux,2019,2019-08,,507
amd.com,2012,2012-05,,182
Red Hat,2020,2020-09,,1062
The Linux Kernel Archives,2020,2020-01,,1195
Intel,2006,2006-04,,547
Intel,2017,2017-02,,2846
Broadcom,2013,2013-11,,107
Intel,2010,2010-04,,1310
The Linux Kernel Archives,2020,2020-08,,2853
SUSE Linux,2009,2009-10,,381
Red Hat,2010,2010-06,,890
Linaro,2019,2019-09,,346
Intel,2019,2019-07,,1916
Oracle,2008,2008-06,,353
Linaro,2014,2014-01,,529
Red Hat,2014,2014-04,,1644
Intel,2012,2012-05,,2160
Huawei Technologies,2006,2006-08,,102
Red Hat,2016,2016-03,,1284
Intel,2011,2011-11,,1492
Intel,2017,2017-03,,2607
PMC-Sierra,2017,2017-02,,98
The Linux Kernel Archives,2018,2018-08,,1759
Nick Piggin,2006,2006-09,,291
SUSE Linux,2020,2020-06,,586
Red Hat,2012,2012-04,,1689
Intel,2019,2019-06,,2489
Red Hat,2014,2014-08,,1746
Red Hat,2015,2015-02,,932
Linux Foundation,2009,2009-12,,71
Huawei Technologies,2022,2022-09,,1075
Texas Instruments,2010,2010-01,,137
Red Hat,2016,2016-05,,1125
SUSE Linux,2009,2009-02,,629
Linaro,2021,2021-06,,511
Red Hat,2019,2019-04,,1018
amd.com,2017,2017-04,,723
Netronome Systems,2020,2020-09,,174
The Linux Kernel Archives,2021,2021-08,,983
Linaro,2012,2012-06,,445
Broadcom,2015,2015-10,,270
Intel,2019,2019-03,,1850
Mellanox Technologies,2019,2019-01,,539
The Linux Kernel Archives,2006,2006-12,,64
SUSE Linux,2020,2020-12,,163
Linaro,2018,2018-05,,951
The Linux Kernel Archives,2017,2017-05,,572
Sony,2015,2015-01,,82
Texas Instruments,2018,2018-05,,421
Red Hat,2014,2014-07,,1052
Intel,2022,2022-03,,1874
Intel,2021,2021-02,,1512
Red Hat,2015,2015-11,,968
Texas Instruments,2012,2012-08,,580
Texas Instruments,2018,2018-11,,226
Oracle,2019,2019-11,,319
Red Hat,2014,2014-12,,1166
Intel,2014,2014-01,,1450
Red Hat,2015,2015-08,,3737
Intel,2011,2011-08,,1637
SUSE Linux,2007,2007-11,,505
Intel,2016,2016-01,,2562
SUSE Linux,2022,2022-08,,169
Nick Piggin,2021,2021-12,,210
Texas Instruments,2013,2013-04,,469
The Linux Kernel Archives,2018,2018-01,,431
amd.com,2020,2020-09,,1080
The Linux Kernel Archives,2013,2013-09,,263
Intel,2013,2013-11,,1685
Intel,2021,2021-07,,1328
Samsung Electronics,2017,2017-11,,440
Huawei Technologies,2017,2017-03,,97
Linaro,2013,2013-09,,1318
Intel,2014,2014-05,,1820
Intel,2016,2016-10,,2800
Intel,2015,2015-05,,1970
Red Hat,2020,2020-06,,1651
Intel,2021,2021-05,,1261
Technical University of Berlin,2017,2017-09,,13
Arnd Bergmann,2020,2020-01,,86
amd.com,2019,2019-07,,1383
amd.com,2021,2021-11,,1255
Intel,2015,2015-01,,1731
Linaro,2016,2016-07,,762
Oracle,2018,2018-03,,499
Intel,2017,2017-12,,1438
SUSE Linux,2013,2013-12,,230
Texas Instruments,2011,2011-10,,416
Alibaba,2018,2018-08,,54
amd.com,2019,2019-08,,929
Oracle,2016,2016-07,,242
Samsung Electronics,2019,2019-02,,86
The Linux Kernel Archives,2022,2022-03,,2096
Intel,2011,2011-12,,1583
amd.com,2013,2013-03,,113
Texas Instruments,2020,2020-04,,166
SUSE Linux,2008,2008-01,,1170
The Linux Kernel Archives,2019,2019-09,,587
The Linux Kernel Archives,2021,2021-01,,1918
Samsung Electronics,2019,2019-08,,76
amd.com,2022,2022-02,,1424
Nick Piggin,2009,2009-04,,52
Linaro,2021,2021-10,,307
SUSE Linux,2013,2013-05,,203
amd.com,2014,2014-07,,456
Linux Foundation,2009,2009-03,,202
Red Hat,2015,2015-06,,955
Broadcom,2019,2019-07,,85
amd.com,2018,2018-09,,834
Red Hat,2021,2021-02,,999
Linaro,2012,2012-05,,723
SUSE Linux,2008,2008-09,,718
Texas Instruments,2016,2016-06,,422
Intel,2014,2014-10,,1416
amd.com,2018,2018-05,,1054
Red Hat,2018,2018-07,,1294
The Linux Kernel Archives,2021,2021-06,,988
Red Hat,2009,2009-06,,1555
Huawei Technologies,2021,2021-04,,665
Red Hat,2014,2014-01,,1370
David M. Loft,2011,2011-07,,196
The Linux Kernel Archives,2018,2018-04,,458
Intel,2016,2016-02,,3255
SUSE Linux,2010,2010-10,,1312
The Linux Kernel Archives,2018,2018-11,,910
The Linux Kernel Archives,2012,2012-07,,228
amd.com,2020,2020-11,,670
Intel,2014,2014-08,,1230
Linaro,2019,2019-04,,728
David M. Loft,2007,2007-03,,183
Intel,2005,2005-10,,875
amd.com,2022,2022-04,,1119
Intel,2009,2009-08,,1330
Intel,2018,2018-03,,2273
Red Hat,2015,2015-03,,1516
Intel,2018,2018-10,,2466
Linaro,2020,2020-11,,1246
Nick Piggin,2007,2007-12,,597
Broadcom,2013,2013-02,,197
Red Hat,2021,2021-01,,800
Intel,2017,2017-10,,1819
Huawei Technologies,2017,2017-08,,449
Huawei Technologies,2013,2013-11,,144
Samsung Electronics,2016,2016-05,,235
Intel,2008,2008-04,,1887
amd.com,2012,2012-07,,230
Intel,2017,2017-04,,2328
The Linux Kernel Archives,2014,2014-10,,564
Intel,2008,2008-08,,846
Intel,2022,2022-01,,1596
Linaro,2020,2020-01,,500
Huawei Technologies,2012,2012-05,,236
amd.com,2017,2017-11,,1095
Arnd Bergmann,2015,2015-11,,344
amd.com,2011,2011-01,,159
Red Hat,2011,2011-06,,1584
Red Hat,2022,2022-07,,617
Oracle,2020,2020-06,,249
amd.com,2015,2015-05,,425
Linaro,2013,2013-11,,432
The Linux Kernel Archives,2022,2022-05,,1335
Intel,2020,2020-02,,1545
Intel,2012,2012-07,,1703
Samsung Electronics,2014,2014-04,,419
The Linux Kernel Archives,2014,2014-11,,485
Red Hat,2012,2012-10,,4700
Mellanox Technologies,2017,2017-11,,358
SUSE Linux,2005,2005-03,,70
Texas Instruments,2008,2008-12,,46
Samsung Electronics,2010,2010-11,,265
Oracle,2017,2017-05,,294
Mellanox Technologies,2019,2019-08,,484
Mellanox Technologies,2019,2019-02,,722
Intel,2014,2014-04,,1577
SUSE Linux,2008,2008-08,,3099
SUSE Linux,2006,2006-01,,1186
Intel,2005,2005-11,,1864
Red Hat,2012,2012-02,,1090
Samsung Electronics,2018,2018-04,,284
SUSE Linux,2022,2022-06,,290
Intel,2012,2012-08,,915
Samsung Electronics,2017,2017-06,,157
Nick Piggin,2011,2011-12,,151
SUSE Linux,2014,2014-12,,341
Linaro,2013,2013-01,,610
Oracle,2018,2018-10,,611
SUSE Linux,2007,2007-02,,348
The Linux Kernel Archives,2016,2016-05,,618
Intel,2020,2020-12,,1221
Linaro,2021,2021-02,,456
Nick Piggin,2006,2006-05,,615
amd.com,2014,2014-10,,1903
Sony,2015,2015-08,,102
Mellanox Technologies,2015,2015-05,,341
Linaro,2021,2021-12,,262
Red Hat,2006,2006-03,,879
The Linux Kernel Archives,2018,2018-05,,697
Red Hat,2007,2007-04,,1180
The Linux Kernel Archives,2021,2021-03,,1485
David M. Loft,2006,2006-02,,431
The Linux Kernel Archives,2010,2010-09,,376
Sony,2020,2020-04,,123
Texas Instruments,2011,2011-12,,564
SUSE Linux,2009,2009-04,,524
Oracle,2020,2020-05,,350
Intel,2015,2015-11,,2539
Broadcom,2013,2013-09,,137
Intel,2014,2014-11,,2398
Oracle,2017,2017-09,,474
Mellanox Technologies,2019,2019-03,,373
Red Hat,2017,2017-04,,1666
Intel,2013,2013-07,,1376
Linaro,2022,2022-08,,588
Texas Instruments,2020,2020-12,,215
Red Hat,2017,2017-10,,1038
Broadcom,2020,2020-03,,180
Intel,2022,2022-06,,2391
Intel,2022,2022-05,,2049
Nick Piggin,2022,2022-09,,165
Nick Piggin,2005,2005-06,,388
Mellanox Technologies,2012,2012-01,,99
The Linux Kernel Archives,2022,2022-08,,1537
Oracle,2018,2018-08,,447
SUSE Linux,2006,2006-03,,1041
amd.com,2017,2017-10,,904
Broadcom,2008,2008-05,,48
Linaro,2019,2019-08,,936
Red Hat,2012,2012-05,,1789
Intel,2017,2017-11,,1544
Linaro,2021,2021-03,,1067
Huawei Technologies,2019,2019-05,,252
amd.com,2009,2009-08,,344
The Linux Kernel Archives,2020,2020-05,,2537
Intel,2010,2010-11,,1061
Intel,2010,2010-01,,1231
Huawei Technologies,2009,2009-12,,196
Intel,2009,2009-07,,1235
SUSE Linux,2019,2019-05,,615
Red Hat,2012,2012-07,,1767
Intel,2012,2012-03,,2112
C-SKY Microsystems,2019,2019-09,,15
Samsung Electronics,2018,2018-02,,428
Oracle,2016,2016-01,,279
The Linux Kernel Archives,2019,2019-11,,1012
SUSE Linux,2011,2011-05,,813
Huawei Technologies,2005,2005-07,,164
Huawei Technologies,2016,2016-10,,167
Texas Instruments,2010,2010-05,,471
Red Hat,2021,2021-06,,963
Huawei Technologies,2020,2020-07,,384
Linaro,2010,2010-11,,279
SUSE Linux,2017,2017-05,,298
Texas Instruments,2014,2014-04,,930
SUSE Linux,2013,2013-07,,700
Texas Instruments,2015,2015-12,,364
Linaro,2021,2021-11,,340
Intel,2020,2020-03,,2027
Broadcom,2009,2009-08,,225
Intel,2020,2020-07,,1612
Linaro,2017,2017-12,,480
Linaro,2016,2016-09,,854
Intel,2006,2006-06,,1436
Intel,2016,2016-08,,1957
amd.com,2018,2018-07,,862
amd.com,2022,2022-07,,891
Broadcom,2012,2012-02,,158
Samsung Electronics,2017,2017-02,,194
Intel,2020,2020-04,,1904
Red Hat,2017,2017-05,,1350
Intel,2005,2005-06,,921
Linaro,2018,2018-11,,683
Intel,2013,2013-10,,1610
Linaro,2015,2015-05,,560
Linux Foundation,2015,2015-02,,22
The Linux Kernel Archives,2015,2015-08,,321
Alibaba,2020,2020-12,,177
Red Hat,2020,2020-07,,1089
Red Hat,2009,2009-05,,1054
SUSE Linux,2022,2022-02,,233
Mellanox Technologies,2022,2022-04,,563
Oracle,2008,2008-04,,304
Huawei Technologies,2013,2013-03,,156
Huawei Technologies,2021,2021-02,,268
Broadcom,2014,2014-09,,127
The Linux Kernel Archives,2020,2020-06,,1833
Samsung Electronics,2015,2015-12,,877
Texas Instruments,2012,2012-07,,477
Oracle,2012,2012-07,,137
Samsung Electronics,2015,2015-05,,474
Intel,2022,2022-04,,1832
Samsung Electronics,2016,2016-06,,445
Mellanox Technologies,2013,2013-04,,307
amd.com,2017,2017-12,,898
amd.com,2020,2020-07,,1141
The Linux Kernel Archives,2019,2019-05,,726
Red Hat,2016,2016-11,,1275
Red Hat,2017,2017-08,,1698
SUSE Linux,2015,2015-04,,495
Mellanox Technologies,2018,2018-02,,415
David M. Loft,2014,2014-10,,27
Texas Instruments,2019,2019-10,,344
Red Hat,2008,2008-01,,1593
Intel,2015,2015-07,,2169
Intel,2021,2021-12,,1905
Linaro,2014,2014-02,,864
Intel,2010,2010-08,,1866
Intel,2011,2011-06,,1210
amd.com,2015,2015-08,,450
Red Hat,2013,2013-08,,1604
SUSE Linux,2022,2022-04,,372
Linaro,2016,2016-11,,753
The Linux Kernel Archives,2015,2015-09,,636
Texas Instruments,2018,2018-12,,260
Alibaba,2021,2021-01,,108
amd.com,2020,2020-06,,785
amd.com,2017,2017-05,,769
amd.com,2017,2017-03,,806
Samsung Electronics,2010,2010-03,,59
Texas Instruments,2016,2016-09,,558
SUSE Linux,2007,2007-05,,679
Huawei Technologies,2015,2015-09,,155
Intel,2018,2018-12,,1509
Texas Instruments,2019,2019-12,,389
Samsung Electronics,2018,2018-10,,187
Nick Piggin,2017,2017-01,,184
Linaro,2013,2013-06,,633
SUSE Linux,2020,2020-04,,325
Red Hat,2015,2015-09,,893
SUSE Linux,2014,2014-05,,221
Intel,2021,2021-09,,1758
Mellanox Technologies,2020,2020-08,,256
The Linux Kernel Archives,2016,2016-01,,596
SUSE Linux,2012,2012-03,,653
Texas Instruments,2021,2021-03,,165
Samsung Electronics,2020,2020-11,,87
Huawei Technologies,2012,2012-01,,114
Huawei Technologies,2016,2016-06,,229
Texas Instruments,2011,2011-03,,529
