Oracle,2018,2018-07,sound,16
The Linux Kernel Archives,2014,2014-12,arch,135
SUSE Linux,2021,2021-11,arch,188
Intel,2015,2015-08,net,48
Oracle,2017,2017-04,fs,46
SUSE Linux,2008,2008-06,drivers,100
Broadcom,2006,2006-08,drivers,5
Intel,2019,2019-09,arch,163
Red Hat,2019,2019-07,include,83
Red Hat,2019,2019-07,net,83
Broadcom,2018,2018-04,drivers,187
Texas Instruments,2020,2020-03,...,15
Alibaba,2005,2005-10,drivers,130
Red Hat,2021,2021-07,fs,104
Red Hat,2021,2021-07,include,55
Arnd Bergmann,2014,2014-03,arch,70
Broadcom,2016,2016-09,MAINTAINERS,1
Oracle,2015,2015-10,fs,48
The Linux Kernel Archives,2016,2016-02,fs,26
Broadcom,2011,2011-07,fs,40
Red Hat,2009,2009-09,include,89
Intel,2017,2017-09,drivers,1021
Nick Piggin,2007,2007-06,drivers,23
The Linux Kernel Archives,2021,2021-11,drivers,431
Arnd Bergmann,2020,2020-12,drivers,57
Linaro,2020,2020-09,drivers,265
Red Hat,2016,2016-07,samples,4
Red Hat,2017,2017-07,drivers,652
Samsung Electronics,2013,2013-04,drivers,368
The Linux Kernel Archives,2022,2022-01,fs,83
Intel,2020,2020-11,include,142
Intel,2020,2020-11,net,84
Linaro,2017,2017-07,arch,115
Texas Instruments,2013,2013-11,drivers,263
Texas Instruments,2013,2013-11,include,11
Texas Instruments,2013,2013-12,arch,193
amd.com,2019,2019-03,drivers,700
Red Hat,2013,2013-03,kernel,113
Intel,2010,2010-02,arch,216
Intel,2007,2007-03,crypto,5
Intel,2021,2021-08,drivers,1075
The Linux Kernel Archives,2015,2015-06,include,28
The Linux Kernel Archives,2015,2015-06,kernel,7
amd.com,2010,2010-07,arch,143
Red Hat,2017,2017-11,drivers,1042
Texas Instruments,2013,2013-07,arch,198
Intel,2012,2012-10,net,179
Oracle,2008,2008-08,block,14
Oracle,2008,2008-08,include,18
Intel,2019,2019-11,arch,164
Samsung Electronics,2007,2007-04,arch,11
Intel,2020,2020-01,arch,208
Oracle,2019,2019-02,net,84
Samsung Electronics,2015,2015-04,drivers,265
Huawei Technologies,2008,2008-01,arch,10
Huawei Technologies,2008,2008-01,kernel,6
Broadcom,2017,2017-10,drivers,233
The Linux Kernel Archives,2016,2016-02,arch,88
Red Hat,2020,2020-08,drivers,422
Red Hat,2020,2020-08,include,101
David M. Loft,2008,2008-01,arch,10
SUSE Linux,2012,2012-11,include,21
SUSE Linux,2012,2012-11,mm,30
Mellanox Technologies,2019,2019-06,arch,18
Broadcom,2011,2011-05,drivers,525
Texas Instruments,2017,2017-10,arch,20
Intel,2012,2012-04,arch,138
Sony,2013,2013-03,drivers,5
Intel,2021,2021-01,arch,158
Intel,2021,2021-01,include,76
Intel,2021,2021-01,kernel,5
Red Hat,2019,2019-10,arch,112
Red Hat,2019,2019-10,drivers,256
Red Hat,2019,2019-10,include,52
Texas Instruments,2011,2011-05,drivers,310
Red Hat,2017,2017-01,drivers,381
Red Hat,2008,2008-08,drivers,222
The Linux Kernel Archives,2016,2016-09,drivers,99
Texas Instruments,2016,2016-02,drivers,182
Samsung Electronics,2015,2015-01,drivers,263
Intel,2011,2011-03,net,30
Samsung Electronics,2016,2016-09,arch,151
Samsung Electronics,2016,2016-10,drivers,545
Red Hat,2012,2012-03,arch,1455
amd.com,2008,2008-11,kernel,2
amd.com,2021,2021-04,Documentation,15
Intel,2007,2007-10,drivers,588
Intel,2017,2017-01,sound,80
Intel,2015,2015-09,drivers,1411
Linaro,2017,2017-06,mm,18
Red Hat,2016,2016-09,arch,222
Linaro,2015,2015-06,scripts,1
amd.com,2007,2007-06,ipc,1
Texas Instruments,2020,2020-03,fs,33
Red Hat,2017,2017-11,fs,354
amd.com,2020,2020-10,drivers,712
SUSE Linux,2006,2006-08,drivers,379
Samsung Electronics,2016,2016-11,drivers,252
amd.com,2021,2021-06,...,80
Mellanox Technologies,2021,2021-09,drivers,240
Mellanox Technologies,2021,2021-09,...,68
Linaro,2020,2020-03,drivers,497
SUSE Linux,2019,2019-08,drivers,302
amd.com,2012,2012-05,drivers,118
Red Hat,2020,2020-09,net,206
The Linux Kernel Archives,2020,2020-01,arch,351
Intel,2006,2006-04,drivers,332
Intel,2017,2017-02,drivers,1258
Broadcom,2013,2013-11,arch,3
Intel,2010,2010-04,drivers,857
The Linux Kernel Archives,2020,2020-08,drivers,1140
SUSE Linux,2009,2009-10,virt,1
Red Hat,2010,2010-06,drivers,271
Linaro,2019,2019-09,drivers,290
Linaro,2019,2019-09,include,8
Intel,2019,2019-07,tools,54
Oracle,2008,2008-06,arch,80
Oracle,2008,2008-06,include,50
Linaro,2014,2014-01,drivers,181
Red Hat,2014,2014-04,drivers,727
Intel,2012,2012-05,drivers,1176
Huawei Technologies,2006,2006-08,net,26
Red Hat,2016,2016-03,fs,185
Intel,2011,2011-11,net,229
Intel,2017,2017-03,drivers,1544
PMC-Sierra,2017,2017-02,drivers,98
The Linux Kernel Archives,2018,2018-08,drivers,369
Nick Piggin,2006,2006-09,arch,11
Nick Piggin,2006,2006-09,drivers,70
Nick Piggin,2006,2006-09,include,138
SUSE Linux,2020,2020-06,drivers,308
SUSE Linux,2020,2020-06,...,95
Red Hat,2012,2012-04,fs,522
Intel,2019,2019-06,drivers,1522
Red Hat,2014,2014-08,mm,51
Red Hat,2015,2015-02,arch,114
Linux Foundation,2009,2009-12,fs,13
Linux Foundation,2009,2009-12,include,7
Huawei Technologies,2022,2022-09,arch,48
Red Hat,2014,2014-04,fs,338
Texas Instruments,2010,2010-01,arch,81
Red Hat,2016,2016-05,fs,285
SUSE Linux,2009,2009-02,sound,181
Linaro,2021,2021-06,sound,26
Red Hat,2019,2019-04,kernel,86
amd.com,2017,2017-04,drivers,580
The Linux Kernel Archives,2022,2022-01,mm,27
Netronome Systems,2020,2020-09,drivers,126
The Linux Kernel Archives,2021,2021-08,scripts,27
Linaro,2012,2012-06,drivers,159
Broadcom,2015,2015-10,drivers,209
Intel,2019,2019-03,drivers,1003
Mellanox Technologies,2019,2019-01,drivers,354
Texas Instruments,2020,2020-03,drivers,169
The Linux Kernel Archives,2006,2006-12,include,11
SUSE Linux,2020,2020-12,mm,11
Linaro,2018,2018-05,drivers,524
Linaro,2018,2018-05,...,36
The Linux Kernel Archives,2017,2017-05,drivers,223
The Linux Kernel Archives,2017,2017-05,include,51
Sony,2015,2015-01,drivers,21
Texas Instruments,2018,2018-05,arch,105
Texas Instruments,2018,2018-05,drivers,194
Texas Instruments,2018,2018-05,fs,21
Texas Instruments,2018,2018-05,include,16
Texas Instruments,2018,2018-05,kernel,15
Texas Instruments,2018,2018-05,net,6
Red Hat,2014,2014-07,fs,227
Intel,2022,2022-03,drivers,1067
Intel,2021,2021-02,drivers,682
